MeshCode,dB(sec),dL(sec),dH(m),lon_min,lat_min,lon_max,lat_max
36230600,-0.04456, 0.03183, 0.08412,123.75,24.0,123.7625,24.0083333333
36230605,-0.04407, 0.03191, 0.08130,123.8125,24.0,123.825,24.0083333333
36230555,-0.04511, 0.03145, 0.08557,123.6875,24.0416666665,123.7,24.0499999998
36230650,-0.04436, 0.03188, 0.08270,123.75,24.0416666665,123.7625,24.0499999998
36230655,-0.04376, 0.03205, 0.07966,123.8125,24.0416666665,123.825,24.0499999998
36230750,-0.04311, 0.03164, 0.07381,123.875,24.0416666665,123.8875,24.0499999998
36231600,-0.04424, 0.03172, 0.08074,123.75,24.0833333333,123.7625,24.0916666666
36231605,-0.04357, 0.03188, 0.07723,123.8125,24.0833333333,123.825,24.0916666666
36231650,-0.04421, 0.03133, 0.07828,123.75,24.1249999998,123.7625,24.1333333331
36231655,-0.04348, 0.03140, 0.07412,123.8125,24.1249999998,123.825,24.1333333331
36232700,-0.04303, 0.03075, 0.06811,123.875,24.1666666666,123.8875,24.1749999999
36232705,-0.04258, 0.03044, 0.06423,123.9375,24.1666666666,123.95,24.1749999999
36242000,-0.04190, 0.03010, 0.05907,124.0,24.1666666666,124.0125,24.1749999999
36242005,-0.04118, 0.02976, 0.05388,124.0625,24.1666666666,124.075,24.1749999999
36412305,-0.01815,-0.04448, 1.14420,141.4375,24.1666666666,141.45,24.1749999999
36412400,-0.01588,-0.04456, 1.20655,141.5,24.1666666666,141.5125,24.1749999999
36232555,-0.04517, 0.03025, 0.07857,123.6875,24.2083333331,123.7,24.2166666664
36232650,-0.04421, 0.03039, 0.07325,123.75,24.2083333331,123.7625,24.2166666664
36232655,-0.04349, 0.03042, 0.06903,123.8125,24.2083333331,123.825,24.2166666664
36232750,-0.04291, 0.03030, 0.06520,123.875,24.2083333331,123.8875,24.2166666664
36232755,-0.04253, 0.03006, 0.06202,123.9375,24.2083333331,123.95,24.2166666664
36242050,-0.04181, 0.02978, 0.05697,124.0,24.2083333331,124.0125,24.2166666664
36242055,-0.04105, 0.02948, 0.05169,124.0625,24.2083333331,124.075,24.2166666664
36412355,-0.01861,-0.04447, 1.13155,141.4375,24.2083333331,141.45,24.2166666664
36412450,-0.01605,-0.04456, 1.20199,141.5,24.2083333331,141.5125,24.2166666664
36233500,-0.04628, 0.02967, 0.08279,123.625,24.25,123.6375,24.2583333333
36233505,-0.04523, 0.02982, 0.07672,123.6875,24.25,123.7,24.2583333333
36233600,-0.04423, 0.02990, 0.07090,123.75,24.25,123.7625,24.2583333333
36233605,-0.04346, 0.02991, 0.06641,123.8125,24.25,123.825,24.2583333333
36233700,-0.04281, 0.02983, 0.06242,123.875,24.25,123.8875,24.2583333333
36233705,-0.04245, 0.02964, 0.05979,123.9375,24.25,123.95,24.2583333333
36243000,-0.04170, 0.02942, 0.05484,124.0,24.25,124.0125,24.2583333333
36243005,-0.04089, 0.02917, 0.04947,124.0625,24.25,124.075,24.2583333333
36243100,-0.04008, 0.02889, 0.04428,124.125,24.25,124.1375,24.2583333333
36413305,-0.01891,-0.04446, 1.12332,141.4375,24.25,141.45,24.2583333333
36413400,-0.01602,-0.04456, 1.20266,141.5,24.25,141.5125,24.2583333333
36233550,-0.04638, 0.02930, 0.08154,123.625,24.2916666665,123.6375,24.2999999998
36233555,-0.04530, 0.02938, 0.07499,123.6875,24.2916666665,123.7,24.2999999998
36233650,-0.04427, 0.02940, 0.06872,123.75,24.2916666665,123.7625,24.2999999998
36233655,-0.04345, 0.02940, 0.06395,123.8125,24.2916666665,123.825,24.2999999998
36233750,-0.04273, 0.02935, 0.05988,123.875,24.2916666665,123.8875,24.2999999998
36233755,-0.04238, 0.02922, 0.05769,123.9375,24.2916666665,123.95,24.2999999998
36243050,-0.04158, 0.02905, 0.05288,124.0,24.2916666665,124.0125,24.2999999998
36243055,-0.04072, 0.02884, 0.04746,124.0625,24.2916666665,124.075,24.2999999998
36243150,-0.03985, 0.02861, 0.04184,124.125,24.2916666665,124.1375,24.2999999998
36243155,-0.03908, 0.02833, 0.03780,124.1875,24.2916666665,124.2,24.2999999998
36243250,-0.03848, 0.02798, 0.03669,124.25,24.2916666665,124.2625,24.2999999998
36413355,-0.01903,-0.04445, 1.12010,141.4375,24.2916666665,141.45,24.2999999998
36234500,-0.04648, 0.02894, 0.08043,123.625,24.3333333333,123.6375,24.3416666666
36234505,-0.04537, 0.02896, 0.07345,123.6875,24.3333333333,123.7,24.3416666666
36234600,-0.04425, 0.02891, 0.06625,123.75,24.3333333333,123.7625,24.3416666666
36234605,-0.04345, 0.02890, 0.06167,123.8125,24.3333333333,123.825,24.3416666666
36234700,-0.04266, 0.02888, 0.05768,123.875,24.3333333333,123.8875,24.3416666666
36234705,-0.04229, 0.02880, 0.05584,123.9375,24.3333333333,123.95,24.3416666666
36244000,-0.04145, 0.02867, 0.05125,124.0,24.3333333333,124.0125,24.3416666666
36244005,-0.04056, 0.02851, 0.04596,124.0625,24.3333333333,124.075,24.3416666666
36244100,-0.03964, 0.02831, 0.04011,124.125,24.3333333333,124.1375,24.3416666666
36244105,-0.03880, 0.02807, 0.03549,124.1875,24.3333333333,124.2,24.3416666666
36244200,-0.03824, 0.02770, 0.03579,124.25,24.3333333333,124.2625,24.3416666666
36244205,-0.03772, 0.02737, 0.03545,124.3125,24.3333333333,124.325,24.3416666666
36224755,-0.05798, 0.02705, 0.14469,122.9375,24.3749999998,122.95,24.3833333331
36234050,-0.05747, 0.02710, 0.14174,123.0,24.3749999998,123.0125,24.3833333331
36234555,-0.04545, 0.02856, 0.07220,123.6875,24.3749999998,123.7,24.3833333331
36234650,-0.04429, 0.02844, 0.06444,123.75,24.3749999998,123.7625,24.3833333331
36234655,-0.04345, 0.02840, 0.05961,123.8125,24.3749999998,123.825,24.3833333331
36234750,-0.04262, 0.02844, 0.05591,123.875,24.3749999998,123.8875,24.3833333331
36234755,-0.04218, 0.02840, 0.05428,123.9375,24.3749999998,123.95,24.3833333331
36244050,-0.04132, 0.02831, 0.05003,124.0,24.3749999998,124.0125,24.3833333331
36244055,-0.04041, 0.02816, 0.04518,124.0625,24.3749999998,124.075,24.3833333331
36244150,-0.03948, 0.02798, 0.04003,124.125,24.3749999998,124.1375,24.3833333331
36244155,-0.03865, 0.02772, 0.03642,124.1875,24.3749999998,124.2,24.3833333331
36244250,-0.03803, 0.02739, 0.03608,124.25,24.3749999998,124.2625,24.3833333331
36244255,-0.03756, 0.02709, 0.03568,124.3125,24.3749999998,124.325,24.3833333331
36225700,-0.05813, 0.02705, 0.14567,122.875,24.4166666666,122.8875,24.4249999999
36225705,-0.05855, 0.02692, 0.14763,122.9375,24.4166666666,122.95,24.4249999999
36235000,-0.05784, 0.02700, 0.14359,123.0,24.4166666666,123.0125,24.4249999999
36235005,-0.05677, 0.02715, 0.13758,123.0625,24.4166666666,123.075,24.4249999999
36235505,-0.04551, 0.02822, 0.07136,123.6875,24.4166666666,123.7,24.4249999999
36235600,-0.04433, 0.02802, 0.06306,123.75,24.4166666666,123.7625,24.4249999999
36235605,-0.04347, 0.02794, 0.05794,123.8125,24.4166666666,123.825,24.4249999999
36235700,-0.04259, 0.02804, 0.05478,123.875,24.4166666666,123.8875,24.4249999999
36235705,-0.04178, 0.02805, 0.05160,123.9375,24.4166666666,123.95,24.4249999999
36245000,-0.04117, 0.02797, 0.04921,124.0,24.4166666666,124.0125,24.4249999999
36245005,-0.04026, 0.02783, 0.04501,124.0625,24.4166666666,124.075,24.4249999999
36245100,-0.03936, 0.02763, 0.04094,124.125,24.4166666666,124.1375,24.4249999999
36245105,-0.03853, 0.02737, 0.03822,124.1875,24.4166666666,124.2,24.4249999999
36245200,-0.03785, 0.02706, 0.03732,124.25,24.4166666666,124.2625,24.4249999999
36245205,-0.03737, 0.02680, 0.03657,124.3125,24.4166666666,124.325,24.4249999999
36225750,-0.05836, 0.02686, 0.14618,122.875,24.4583333331,122.8875,24.4666666664
36225755,-0.05883, 0.02685, 0.14905,122.9375,24.4583333331,122.95,24.4666666664
36235050,-0.05796, 0.02695, 0.14407,123.0,24.4583333331,123.0125,24.4666666664
36235055,-0.05686, 0.02710, 0.13785,123.0625,24.4583333331,123.075,24.4666666664
36235650,-0.04434, 0.02774, 0.06265,123.75,24.4583333331,123.7625,24.4666666664
36235655,-0.04347, 0.02766, 0.05772,123.8125,24.4583333331,123.825,24.4666666664
36235750,-0.04258, 0.02773, 0.05441,123.875,24.4583333331,123.8875,24.4666666664
36245055,-0.04012, 0.02752, 0.04517,124.0625,24.4583333331,124.075,24.4666666664
36245150,-0.03924, 0.02732, 0.04200,124.125,24.4583333331,124.1375,24.4666666664
36245155,-0.03841, 0.02705, 0.03991,124.1875,24.4583333331,124.2,24.4666666664
36245250,-0.03771, 0.02675, 0.03902,124.25,24.4583333331,124.2625,24.4666666664
36245255,-0.03717, 0.02649, 0.03796,124.3125,24.4583333331,124.325,24.4666666664
36226705,-0.05829, 0.02695, 0.14614,122.9375,24.5,122.95,24.5083333333
36236000,-0.05774, 0.02698, 0.14282,123.0,24.5,123.0125,24.5083333333
36236005,-0.05677, 0.02709, 0.13724,123.0625,24.5,123.075,24.5083333333
36236605,-0.04346, 0.02749, 0.05827,123.8125,24.5,123.825,24.5083333333
36236700,-0.04259, 0.02749, 0.05471,123.875,24.5,123.8875,24.5083333333
36246005,-0.03998, 0.02725, 0.04543,124.0625,24.5,124.075,24.5083333333
36246100,-0.03912, 0.02704, 0.04293,124.125,24.5,124.1375,24.5083333333
36246105,-0.03830, 0.02677, 0.04132,124.1875,24.5,124.2,24.5083333333
36246200,-0.03753, 0.02645, 0.04071,124.25,24.5,124.2625,24.5083333333
36246205,-0.03695, 0.02619, 0.03973,124.3125,24.5,124.325,24.5083333333
36246300,-0.03660, 0.02610, 0.03645,124.375,24.5,124.3875,24.5083333333
36246155,-0.03821, 0.02655, 0.04228,124.1875,24.5416666665,124.2,24.5499999998
36246250,-0.03739, 0.02622, 0.04181,124.25,24.5416666665,124.2625,24.5499999998
