MeshCode,dB(sec),dL(sec),dH(m),lon_min,lat_min,lon_max,lat_max
36230600,-0.03233, 0.02256, 0.05040,123.75,24.0,123.7625,24.0083333333
36230605,-0.03198, 0.02263, 0.04933,123.8125,24.0,123.825,24.0083333333
36230555,-0.03274, 0.02228, 0.04984,123.6875,24.0416666665,123.7,24.0499999998
36230650,-0.03217, 0.02260, 0.04975,123.75,24.0416666665,123.7625,24.0499999998
36230655,-0.03173, 0.02273, 0.04882,123.8125,24.0416666665,123.825,24.0499999998
36230750,-0.03129, 0.02244, 0.04483,123.875,24.0416666665,123.8875,24.0499999998
36231600,-0.03208, 0.02248, 0.04815,123.75,24.0833333333,123.7625,24.0916666666
36231605,-0.03159, 0.02261, 0.04698,123.8125,24.0833333333,123.825,24.0916666666
36231650,-0.03206, 0.02220, 0.04565,123.75,24.1249999998,123.7625,24.1333333331
36231655,-0.03154, 0.02226, 0.04390,123.8125,24.1249999998,123.825,24.1333333331
36232700,-0.03123, 0.02178, 0.03924,123.875,24.1666666666,123.8875,24.1749999999
36232705,-0.03095, 0.02156, 0.03671,123.9375,24.1666666666,123.95,24.1749999999
36242000,-0.03050, 0.02132, 0.03340,124.0,24.1666666666,124.0125,24.1749999999
36242005,-0.03002, 0.02107, 0.03000,124.0625,24.1666666666,124.075,24.1749999999
36412305,-0.00569,-0.02674, 0.48934,141.4375,24.1666666666,141.45,24.1749999999
36412400,-0.00486,-0.02671, 0.51636,141.5,24.1666666666,141.5125,24.1749999999
36232555,-0.03278, 0.02139, 0.04227,123.6875,24.2083333331,123.7,24.2166666664
36232650,-0.03208, 0.02150, 0.04007,123.75,24.2083333331,123.7625,24.2166666664
36232655,-0.03155, 0.02153, 0.03830,123.8125,24.2083333331,123.825,24.2166666664
36232750,-0.03115, 0.02145, 0.03638,123.875,24.2083333331,123.8875,24.2166666664
36232755,-0.03091, 0.02127, 0.03446,123.9375,24.2083333331,123.95,24.2166666664
36242050,-0.03044, 0.02108, 0.03142,124.0,24.2083333331,124.0125,24.2166666664
36242055,-0.02993, 0.02087, 0.02816,124.0625,24.2083333331,124.075,24.2166666664
36412355,-0.00586,-0.02674, 0.48386,141.4375,24.2083333331,141.45,24.2166666664
36412450,-0.00492,-0.02671, 0.51439,141.5,24.2083333331,141.5125,24.2166666664
36233500,-0.03363, 0.02096, 0.04260,123.625,24.25,123.6375,24.2583333333
36233505,-0.03284, 0.02107, 0.03995,123.6875,24.25,123.7,24.2583333333
36233600,-0.03210, 0.02114, 0.03730,123.75,24.25,123.7625,24.2583333333
36233605,-0.03155, 0.02116, 0.03537,123.8125,24.25,123.825,24.2583333333
36233700,-0.03109, 0.02110, 0.03352,123.875,24.25,123.8875,24.2583333333
36233705,-0.03087, 0.02097, 0.03210,123.9375,24.25,123.95,24.2583333333
36243000,-0.03037, 0.02082, 0.02934,124.0,24.25,124.0125,24.2583333333
36243005,-0.02983, 0.02064, 0.02623,124.0625,24.25,124.075,24.2583333333
36243100,-0.02929, 0.02045, 0.02305,124.125,24.25,124.1375,24.2583333333
36413305,-0.00597,-0.02675, 0.48031,141.4375,24.25,141.45,24.2583333333
36413400,-0.00491,-0.02671, 0.51468,141.5,24.25,141.5125,24.2583333333
36233550,-0.03371, 0.02069, 0.04079,123.625,24.2916666665,123.6375,24.2999999998
36233555,-0.03290, 0.02075, 0.03768,123.6875,24.2916666665,123.7,24.2999999998
36233650,-0.03214, 0.02078, 0.03462,123.75,24.2916666665,123.7625,24.2999999998
36233655,-0.03154, 0.02078, 0.03250,123.8125,24.2916666665,123.825,24.2999999998
36233750,-0.03103, 0.02075, 0.03074,123.875,24.2916666665,123.8875,24.2999999998
36233755,-0.03082, 0.02065, 0.02977,123.9375,24.2916666665,123.95,24.2999999998
36243050,-0.03029, 0.02054, 0.02730,124.0,24.2916666665,124.0125,24.2999999998
36243055,-0.02972, 0.02040, 0.02435,124.0625,24.2916666665,124.075,24.2999999998
36243150,-0.02914, 0.02024, 0.02114,124.125,24.2916666665,124.1375,24.2999999998
36243155,-0.02863, 0.02005, 0.01848,124.1875,24.2916666665,124.2,24.2999999998
36243250,-0.02824, 0.01980, 0.01700,124.25,24.2916666665,124.2625,24.2999999998
36413355,-0.00601,-0.02675, 0.47891,141.4375,24.2916666665,141.45,24.2999999998
36234500,-0.03379, 0.02042, 0.03910,123.625,24.3333333333,123.6375,24.3416666666
36234505,-0.03296, 0.02044, 0.03555,123.6875,24.3333333333,123.7,24.3416666666
36234600,-0.03213, 0.02041, 0.03171,123.75,24.3333333333,123.7625,24.3416666666
