MeshCode,dB(sec),dL(sec),dH(m),lon_min,lat_min,lon_max,lat_max
36230600,-0.04649, 0.03325, 0.09527,123.75,24.0,123.7625,24.0083333333
36230605,-0.04600, 0.03335, 0.09229,123.8125,24.0,123.825,24.0083333333
36230700,-0.04491, 0.03314, 0.08472,123.875,24.0,123.8875,24.0083333333
36230555,-0.04707, 0.03285, 0.09660,123.6875,24.0416666665,123.7,24.0499999998
36230650,-0.04629, 0.03331, 0.09385,123.75,24.0416666665,123.7625,24.0499999998
36230655,-0.04567, 0.03349, 0.09070,123.8125,24.0416666665,123.825,24.0499999998
36230750,-0.04499, 0.03309, 0.08425,123.875,24.0416666665,123.8875,24.0499999998
36231600,-0.04616, 0.03314, 0.09172,123.75,24.0833333333,123.7625,24.0916666666
36231605,-0.04547, 0.03331, 0.08809,123.8125,24.0833333333,123.825,24.0916666666
36231700,-0.04505, 0.03291, 0.08314,123.875,24.0833333333,123.8875,24.0916666666
36231650,-0.04612, 0.03274, 0.08893,123.75,24.1249999998,123.7625,24.1333333331
36231655,-0.04537, 0.03283, 0.08455,123.8125,24.1249999998,123.825,24.1333333331
36232400,-0.05012, 0.03105, 0.10603,123.5,24.1666666666,123.5125,24.1749999999
36232405,-0.04910, 0.03139, 0.10090,123.5625,24.1666666666,123.575,24.1749999999
36232500,-0.04806, 0.03173, 0.09580,123.625,24.1666666666,123.6375,24.1749999999
36232700,-0.04489, 0.03217, 0.07771,123.875,24.1666666666,123.8875,24.1749999999
36232705,-0.04443, 0.03187, 0.07328,123.9375,24.1666666666,123.95,24.1749999999
36242000,-0.04373, 0.03154, 0.06755,124.0,24.1666666666,124.0125,24.1749999999
36242005,-0.04298, 0.03120, 0.06184,124.0625,24.1666666666,124.075,24.1749999999
36242100,-0.04223, 0.03085, 0.05665,124.125,24.1666666666,124.1375,24.1749999999
36412300,-0.03113,-0.05168, 0.00000,141.375,24.1666666666,141.3875,24.1749999999
36412305,-0.02791,-0.05180, 0.00000,141.4375,24.1666666666,141.45,24.1749999999
36412400,-0.02463,-0.05192, 0.00000,141.5,24.1666666666,141.5125,24.1749999999
36232450,-0.05032, 0.03081, 0.10559,123.5,24.2083333331,123.5125,24.2166666664
36232455,-0.04924, 0.03111, 0.09991,123.5625,24.2083333331,123.575,24.2166666664
36232550,-0.04816, 0.03139, 0.09423,123.625,24.2083333331,123.6375,24.2166666664
36232555,-0.04710, 0.03162, 0.08864,123.6875,24.2083333331,123.7,24.2166666664
36232650,-0.04611, 0.03177, 0.08317,123.75,24.2083333331,123.7625,24.2166666664
36232655,-0.04536, 0.03181, 0.07869,123.8125,24.2083333331,123.825,24.2166666664
36232750,-0.04477, 0.03171, 0.07445,123.875,24.2083333331,123.8875,24.2166666664
36232755,-0.04437, 0.03148, 0.07076,123.9375,24.2083333331,123.95,24.2166666664
36242050,-0.04363, 0.03121, 0.06515,124.0,24.2083333331,124.0125,24.2166666664
36242055,-0.04283, 0.03091, 0.05934,124.0625,24.2083333331,124.075,24.2166666664
36242150,-0.04204, 0.03060, 0.05398,124.125,24.2083333331,124.1375,24.2166666664
36412350,-0.03226,-0.05164, 0.00000,141.375,24.2083333331,141.3875,24.2166666664
36412355,-0.02858,-0.05178, 0.00000,141.4375,24.2083333331,141.45,24.2166666664
36412450,-0.02487,-0.05192, 0.00000,141.5,24.2083333331,141.5125,24.2166666664
36233400,-0.05050, 0.03056, 0.10507,123.5,24.25,123.5125,24.2583333333
36233405,-0.04938, 0.03081, 0.09890,123.5625,24.25,123.575,24.2583333333
36233500,-0.04825, 0.03102, 0.09267,123.625,24.25,123.6375,24.2583333333
36233505,-0.04716, 0.03117, 0.08649,123.6875,24.25,123.7,24.2583333333
36233600,-0.04612, 0.03126, 0.08048,123.75,24.25,123.7625,24.2583333333
36233605,-0.04533, 0.03129, 0.07572,123.8125,24.25,123.825,24.2583333333
36233700,-0.04465, 0.03122, 0.07135,123.875,24.25,123.8875,24.2583333333
36233705,-0.04429, 0.03105, 0.06823,123.9375,24.25,123.95,24.2583333333
36243000,-0.04351, 0.03084, 0.06274,124.0,24.25,124.0125,24.2583333333
36243005,-0.04266, 0.03060, 0.05682,124.0625,24.25,124.075,24.2583333333
36243100,-0.04182, 0.03033, 0.05115,124.125,24.25,124.1375,24.2583333333
36243105,-0.04106, 0.03002, 0.04706,124.1875,24.25,124.2,24.2583333333
36243200,-0.04042, 0.02966, 0.04515,124.25,24.25,124.2625,24.2583333333
36413300,-0.03320,-0.05160, 0.00000,141.375,24.25,141.3875,24.2583333333
36413305,-0.02901,-0.05176, 0.00000,141.4375,24.25,141.45,24.2583333333
36413400,-0.02484,-0.05192, 0.00000,141.5,24.25,141.5125,24.2583333333
36233550,-0.04835, 0.03064, 0.09119,123.625,24.2916666665,123.6375,24.2999999998
36233555,-0.04722, 0.03073, 0.08449,123.6875,24.2916666665,123.7,24.2999999998
36233650,-0.04615, 0.03076, 0.07799,123.75,24.2916666665,123.7625,24.2999999998
36233655,-0.04530, 0.03076, 0.07294,123.8125,24.2916666665,123.825,24.2999999998
36233750,-0.04456, 0.03073, 0.06851,123.875,24.2916666665,123.8875,24.2999999998
36233755,-0.04420, 0.03061, 0.06588,123.9375,24.2916666665,123.95,24.2999999998
36243050,-0.04337, 0.03046, 0.06055,124.0,24.2916666665,124.0125,24.2999999998
36243055,-0.04249, 0.03027, 0.05457,124.0625,24.2916666665,124.075,24.2999999998
36243150,-0.04158, 0.03005, 0.04841,124.125,24.2916666665,124.1375,24.2999999998
