MeshCode,dB(sec),dL(sec),dH(m),lon_min,lat_min,lon_max,lat_max
36230600,-0.03565, 0.02470, 0.06153,123.75,24.0,123.7625,24.0083333333
36230605,-0.03528, 0.02478, 0.06061,123.8125,24.0,123.825,24.0083333333
36230555,-0.03607, 0.02440, 0.06128,123.6875,24.0416666665,123.7,24.0499999998
36230650,-0.03548, 0.02475, 0.06096,123.75,24.0416666665,123.7625,24.0499999998
36230655,-0.03502, 0.02489, 0.06008,123.8125,24.0416666665,123.825,24.0499999998
36230750,-0.03450, 0.02459, 0.05669,123.875,24.0416666665,123.8875,24.0499999998
36231600,-0.03537, 0.02462, 0.05967,123.75,24.0833333333,123.7625,24.0916666666
36231605,-0.03484, 0.02475, 0.05854,123.8125,24.0833333333,123.825,24.0916666666
36231650,-0.03531, 0.02432, 0.05769,123.75,24.1249999998,123.7625,24.1333333331
36231655,-0.03475, 0.02439, 0.05607,123.8125,24.1249999998,123.825,24.1333333331
36232700,-0.03437, 0.02390, 0.05254,123.875,24.1666666666,123.8875,24.1749999999
36232705,-0.03404, 0.02368, 0.05055,123.9375,24.1666666666,123.95,24.1749999999
36242000,-0.03353, 0.02344, 0.04761,124.0,24.1666666666,124.0125,24.1749999999
36242005,-0.03300, 0.02319, 0.04442,124.0625,24.1666666666,124.075,24.1749999999
36232555,-0.03601, 0.02347, 0.05538,123.6875,24.2083333331,123.7,24.2166666664
36232650,-0.03526, 0.02359, 0.05321,123.75,24.2083333331,123.7625,24.2166666664
36232655,-0.03469, 0.02363, 0.05168,123.8125,24.2083333331,123.825,24.2166666664
36232750,-0.03425, 0.02355, 0.05016,123.875,24.2083333331,123.8875,24.2166666664
36232755,-0.03397, 0.02338, 0.04874,123.9375,24.2083333331,123.95,24.2166666664
36242050,-0.03344, 0.02319, 0.04605,124.0,24.2083333331,124.0125,24.2166666664
36242055,-0.03288, 0.02298, 0.04301,124.0625,24.2083333331,124.075,24.2166666664
36233500,-0.03689, 0.02302, 0.05613,123.625,24.25,123.6375,24.2583333333
36233505,-0.03604, 0.02314, 0.05351,123.6875,24.25,123.7,24.2583333333
36233600,-0.03525, 0.02321, 0.05094,123.75,24.25,123.7625,24.2583333333
36233605,-0.03465, 0.02324, 0.04924,123.8125,24.25,123.825,24.2583333333
36233700,-0.03415, 0.02319, 0.04771,123.875,24.25,123.8875,24.2583333333
36233705,-0.03390, 0.02307, 0.04675,123.9375,24.25,123.95,24.2583333333
36243000,-0.03335, 0.02292, 0.04430,124.0,24.25,124.0125,24.2583333333
36243005,-0.03275, 0.02275, 0.04142,124.0625,24.25,124.075,24.2583333333
36243100,-0.03216, 0.02256, 0.03830,124.125,24.25,124.1375,24.2583333333
36233550,-0.03695, 0.02273, 0.05470,123.625,24.2916666665,123.6375,24.2999999998
36233555,-0.03607, 0.02281, 0.05166,123.6875,24.2916666665,123.7,24.2999999998
36233650,-0.03525, 0.02283, 0.04870,123.75,24.2916666665,123.7625,24.2999999998
36233655,-0.03461, 0.02285, 0.04679,123.8125,24.2916666665,123.825,24.2999999998
36233750,-0.03406, 0.02283, 0.04527,123.875,24.2916666665,123.8875,24.2999999998
36233755,-0.03383, 0.02274, 0.04467,123.9375,24.2916666665,123.95,24.2999999998
36243050,-0.03324, 0.02264, 0.04244,124.0,24.2916666665,124.0125,24.2999999998
36243055,-0.03262, 0.02250, 0.03973,124.0625,24.2916666665,124.075,24.2999999998
36243150,-0.03198, 0.02235, 0.03671,124.125,24.2916666665,124.1375,24.2999999998
36243155,-0.03143, 0.02216, 0.03357,124.1875,24.2916666665,124.2,24.2999999998
36243250,-0.03103, 0.02191, 0.03048,124.25,24.2916666665,124.2625,24.2999999998
36234500,-0.03701, 0.02245, 0.05332,123.625,24.3333333333,123.6375,24.3416666666
36234505,-0.03611, 0.02248, 0.04988,123.6875,24.3333333333,123.7,24.3416666666
36234600,-0.03521, 0.02245, 0.04613,123.75,24.3333333333,123.7625,24.3416666666
36234605,-0.03458, 0.02246, 0.04435,123.8125,24.3333333333,123.825,24.3416666666
36234700,-0.03399, 0.02247, 0.04291,123.875,24.3333333333,123.8875,24.3416666666
36234705,-0.03375, 0.02242, 0.04258,123.9375,24.3333333333,123.95,24.3416666666
36244000,-0.03314, 0.02235, 0.04055,124.0,24.3333333333,124.0125,24.3416666666
36244005,-0.03249, 0.02225, 0.03801,124.0625,24.3333333333,124.075,24.3416666666
36244100,-0.03182, 0.02212, 0.03510,124.125,24.3333333333,124.1375,24.3416666666
36244105,-0.03122, 0.02196, 0.03202,124.1875,24.3333333333,124.2,24.3416666666
36244200,-0.03087, 0.02171, 0.02905,124.25,24.3333333333,124.2625,24.3416666666
36244205,-0.03054, 0.02147, 0.02595,124.3125,24.3333333333,124.325,24.3416666666
36224755,-0.04633, 0.02094, 0.08321,122.9375,24.3749999998,122.95,24.3833333331
36234050,-0.04595, 0.02098, 0.08189,123.0,24.3749999998,123.0125,24.3833333331
36234555,-0.03616, 0.02217, 0.04828,123.6875,24.3749999998,123.7,24.3833333331
36234650,-0.03522, 0.02209, 0.04400,123.75,24.3749999998,123.7625,24.3833333331
36234655,-0.03456, 0.02208, 0.04196,123.8125,24.3749999998,123.825,24.3833333331
36234750,-0.03395, 0.02213, 0.04074,123.875,24.3749999998,123.8875,24.3833333331
