MeshCode,dB(sec),dL(sec),dH(m),lon_min,lat_min,lon_max,lat_max
36230600,-0.05708, 0.04167, 0.05603,123.75,24.0,123.7625,24.0083333333
36230605,-0.05646, 0.04180, 0.05338,123.8125,24.0,123.825,24.0083333333
36230700,-0.05510, 0.04156, 0.04621,123.875,24.0,123.8875,24.0083333333
36230650,-0.05683, 0.04174, 0.05422,123.75,24.0416666665,123.7625,24.0499999998
36230655,-0.05608, 0.04197, 0.05119,123.8125,24.0416666665,123.825,24.0499999998
36230750,-0.05519, 0.04149, 0.04593,123.875,24.0416666665,123.8875,24.0499999998
36231600,-0.05665, 0.04153, 0.05209,123.75,24.0833333333,123.7625,24.0916666666
36231605,-0.05580, 0.04175, 0.04858,123.8125,24.0833333333,123.825,24.0916666666
36231700,-0.05524, 0.04127, 0.04517,123.875,24.0833333333,123.8875,24.0916666666
36231650,-0.05656, 0.04104, 0.04969,123.75,24.1249999998,123.7625,24.1333333331
36231655,-0.05564, 0.04115, 0.04560,123.8125,24.1249999998,123.825,24.1333333331
36232400,-0.06136, 0.03894, 0.07040,123.5,24.1666666666,123.5125,24.1749999999
36232405,-0.06012, 0.03936, 0.06416,123.5625,24.1666666666,123.575,24.1749999999
36232500,-0.05887, 0.03978, 0.05809,123.625,24.1666666666,123.6375,24.1749999999
36232600,-0.05650, 0.04046, 0.04723,123.75,24.1666666666,123.7625,24.1749999999
36232605,-0.05563, 0.04055, 0.04344,123.8125,24.1666666666,123.825,24.1749999999
36232700,-0.05498, 0.04037, 0.04055,123.875,24.1666666666,123.8875,24.1749999999
36232705,-0.05437, 0.04002, 0.03776,123.9375,24.1666666666,123.95,24.1749999999
36242000,-0.05346, 0.03964, 0.03353,124.0,24.1666666666,124.0125,24.1749999999
36242005,-0.05251, 0.03925, 0.02914,124.0625,24.1666666666,124.075,24.1749999999
36242100,-0.05158, 0.03884, 0.02492,124.125,24.1666666666,124.1375,24.1749999999
36232450,-0.06158, 0.03865, 0.07028,123.5,24.2083333331,123.5125,24.2166666664
36232455,-0.06027, 0.03901, 0.06347,123.5625,24.2083333331,123.575,24.2166666664
36232550,-0.05896, 0.03935, 0.05682,123.625,24.2083333331,123.6375,24.2166666664
36232555,-0.05767, 0.03964, 0.05053,123.6875,24.2083333331,123.7,24.2166666664
36232650,-0.05646, 0.03984, 0.04480,123.75,24.2083333331,123.7625,24.2166666664
36232655,-0.05553, 0.03991, 0.04076,123.8125,24.2083333331,123.825,24.2166666664
36232750,-0.05478, 0.03980, 0.03764,123.875,24.2083333331,123.8875,24.2166666664
