MeshCode,dB(sec),dL(sec),dH(m),lon_min,lat_min,lon_max,lat_max
36230600,-0.05061, 0.03704, 0.08378,123.75,24.0,123.7625,24.0083333333
36230605,-0.05007, 0.03715, 0.08148,123.8125,24.0,123.825,24.0083333333
36230700,-0.04886, 0.03692, 0.07413,123.875,24.0,123.8875,24.0083333333
36230555,-0.05120, 0.03661, 0.08400,123.6875,24.0416666665,123.7,24.0499999998
36230650,-0.05039, 0.03711, 0.08236,123.75,24.0416666665,123.7625,24.0499999998
36230655,-0.04973, 0.03731, 0.08003,123.8125,24.0416666665,123.825,24.0499999998
36230750,-0.04894, 0.03686, 0.07363,123.875,24.0416666665,123.8875,24.0499999998
36231600,-0.05024, 0.03693, 0.07986,123.75,24.0833333333,123.7625,24.0916666666
36231605,-0.04949, 0.03711, 0.07707,123.8125,24.0833333333,123.825,24.0916666666
36231700,-0.04899, 0.03666, 0.07231,123.875,24.0833333333,123.8875,24.0916666666
36231650,-0.05015, 0.03649, 0.07635,123.75,24.1249999998,123.7625,24.1333333331
36231655,-0.04934, 0.03658, 0.07271,123.8125,24.1249999998,123.825,24.1333333331
36232400,-0.05434, 0.03461, 0.08962,123.5,24.1666666666,123.5125,24.1749999999
36232405,-0.05326, 0.03499, 0.08513,123.5625,24.1666666666,123.575,24.1749999999
36232500,-0.05217, 0.03537, 0.08074,123.625,24.1666666666,123.6375,24.1749999999
36232700,-0.04874, 0.03586, 0.06571,123.875,24.1666666666,123.8875,24.1749999999
36232705,-0.04819, 0.03552, 0.06180,123.9375,24.1666666666,123.95,24.1749999999
36242000,-0.04738, 0.03515, 0.05647,124.0,24.1666666666,124.0125,24.1749999999
36242005,-0.04653, 0.03477, 0.05100,124.0625,24.1666666666,124.075,24.1749999999
36242100,-0.04570, 0.03438, 0.04577,124.125,24.1666666666,124.1375,24.1749999999
36232450,-0.05453, 0.03435, 0.08871,123.5,24.2083333331,123.5125,24.2166666664
36232455,-0.05339, 0.03469, 0.08357,123.5625,24.2083333331,123.575,24.2166666664
36232550,-0.05224, 0.03499, 0.07847,123.625,24.2083333331,123.6375,24.2166666664
36232555,-0.05111, 0.03526, 0.07350,123.6875,24.2083333331,123.7,24.2166666664
36232650,-0.05005, 0.03543, 0.06871,123.75,24.2083333331,123.7625,24.2166666664
36232655,-0.04923, 0.03547, 0.06503,123.8125,24.2083333331,123.825,24.2166666664
36232750,-0.04856, 0.03535, 0.06159,123.875,24.2083333331,123.8875,24.2166666664
36232755,-0.04808, 0.03509, 0.05863,123.9375,24.2083333331,123.95,24.2166666664
36242050,-0.04724, 0.03478, 0.05364,124.0,24.2083333331,124.0125,24.2166666664
36242055,-0.04634, 0.03445, 0.04831,124.0625,24.2083333331,124.075,24.2166666664
36242150,-0.04546, 0.03411, 0.04310,124.125,24.2083333331,124.1375,24.2166666664
36233400,-0.05471, 0.03407, 0.08769,123.5,24.25,123.5125,24.2583333333
36233405,-0.05351, 0.03435, 0.08193,123.5625,24.25,123.575,24.2583333333
36233500,-0.05231, 0.03459, 0.07613,123.625,24.25,123.6375,24.2583333333
36233505,-0.05114, 0.03477, 0.07042,123.6875,24.25,123.7,24.2583333333
36233600,-0.05002, 0.03487, 0.06495,123.75,24.25,123.7625,24.2583333333
36233605,-0.04915, 0.03490, 0.06097,123.8125,24.25,123.825,24.2583333333
36233700,-0.04839, 0.03482, 0.05750,123.875,24.25,123.8875,24.2583333333
36233705,-0.04796, 0.03462, 0.05531,123.9375,24.25,123.95,24.2583333333
36243000,-0.04708, 0.03439, 0.05066,124.0,24.25,124.0125,24.2583333333
36243005,-0.04613, 0.03411, 0.04546,124.0625,24.25,124.075,24.2583333333
36243100,-0.04519, 0.03381, 0.04022,124.125,24.25,124.1375,24.2583333333
36243105,-0.04435, 0.03347, 0.03577,124.1875,24.25,124.2,24.2583333333
36243200,-0.04368, 0.03309, 0.03253,124.25,24.25,124.2625,24.2583333333
36233550,-0.05238, 0.03418, 0.07384,123.625,24.2916666665,123.6375,24.2999999998
36233555,-0.05117, 0.03428, 0.06743,123.6875,24.2916666665,123.7,24.2999999998
36233650,-0.05001, 0.03432, 0.06132,123.75,24.2916666665,123.7625,24.2999999998
36233655,-0.04908, 0.03433, 0.05701,123.8125,24.2916666665,123.825,24.2999999998
36233750,-0.04825, 0.03429, 0.05357,123.875,24.2916666665,123.8875,24.2999999998
36233755,-0.04783, 0.03414, 0.05203,123.9375,24.2916666665,123.95,24.2999999998
36243050,-0.04690, 0.03397, 0.04772,124.0,24.2916666665,124.0125,24.2999999998
36243055,-0.04591, 0.03375, 0.04270,124.0625,24.2916666665,124.075,24.2999999998
36243150,-0.04490, 0.03350, 0.03733,124.125,24.2916666665,124.1375,24.2999999998
36243155,-0.04401, 0.03319, 0.03288,124.1875,24.2916666665,124.2,24.2999999998
36243250,-0.04337, 0.03280, 0.03037,124.25,24.2916666665,124.2625,24.2999999998
36234500,-0.05245, 0.03377, 0.07171,123.625,24.3333333333,123.6375,24.3416666666
36234505,-0.05121, 0.03380, 0.06465,123.6875,24.3333333333,123.7,24.3416666666
36234600,-0.04993, 0.03376, 0.05730,123.75,24.3333333333,123.7625,24.3416666666
36234605,-0.04902, 0.03376, 0.05318,123.8125,24.3333333333,123.825,24.3416666666
36234700,-0.04813, 0.03376, 0.04994,123.875,24.3333333333,123.8875,24.3416666666
36234705,-0.04769, 0.03367, 0.04894,123.9375,24.3333333333,123.95,24.3416666666
36244000,-0.04673, 0.03355, 0.04502,124.0,24.3333333333,124.0125,24.3416666666
36244005,-0.04570, 0.03337, 0.04029,124.0625,24.3333333333,124.075,24.3416666666
36244100,-0.04463, 0.03316, 0.03490,124.125,24.3333333333,124.1375,24.3416666666
36244105,-0.04368, 0.03290, 0.03018,124.1875,24.3333333333,124.2,24.3416666666
36244200,-0.04309, 0.03249, 0.02874,124.25,24.3333333333,124.2625,24.3416666666
36244205,-0.04254, 0.03212, 0.02674,124.3125,24.3333333333,124.325,24.3416666666
36244300,-0.04210, 0.03182, 0.02426,124.375,24.3333333333,124.3875,24.3416666666
36224755,-0.06515, 0.03148, 0.13520,122.9375,24.3749999998,122.95,24.3833333331
36234050,-0.06458, 0.03155, 0.13224,123.0,24.3749999998,123.0125,24.3833333331
36234550,-0.05252, 0.03339, 0.06985,123.625,24.3749999998,123.6375,24.3833333331
36234555,-0.05125, 0.03336, 0.06224,123.6875,24.3749999998,123.7,24.3833333331
36234650,-0.04994, 0.03323, 0.05403,123.75,24.3749999998,123.7625,24.3833333331
36234655,-0.04899, 0.03320, 0.04954,123.8125,24.3749999998,123.825,24.3833333331
36234750,-0.04805, 0.03326, 0.04680,123.875,24.3749999998,123.8875,24.3833333331
36234755,-0.04754, 0.03322, 0.04615,123.9375,24.3749999998,123.95,24.3833333331
36244050,-0.04656, 0.03314, 0.04267,124.0,24.3749999998,124.0125,24.3833333331
36244055,-0.04552, 0.03299, 0.03840,124.0625,24.3749999998,124.075,24.3833333331
36244150,-0.04446, 0.03279, 0.03365,124.125,24.3749999998,124.1375,24.3833333331
36244155,-0.04352, 0.03251, 0.02974,124.1875,24.3749999998,124.2,24.3833333331
36244250,-0.04286, 0.03214, 0.02794,124.25,24.3749999998,124.2625,24.3833333331
36244255,-0.04236, 0.03181, 0.02596,124.3125,24.3749999998,124.325,24.3833333331
36244350,-0.04191, 0.03154, 0.02333,124.375,24.3749999998,124.3875,24.3833333331
36225700,-0.06532, 0.03149, 0.13626,122.875,24.4166666666,122.8875,24.4249999999
36225705,-0.06578, 0.03133, 0.13796,122.9375,24.4166666666,122.95,24.4249999999
36235000,-0.06499, 0.03143, 0.13392,123.0,24.4166666666,123.0125,24.4249999999
36235005,-0.06381, 0.03162, 0.12798,123.0625,24.4166666666,123.075,24.4249999999
36235100,-0.06252, 0.03182, 0.12155,123.125,24.4166666666,123.1375,24.4249999999
36235500,-0.05257, 0.03304, 0.06838,123.625,24.4166666666,123.6375,24.4249999999
36235505,-0.05130, 0.03296, 0.06042,123.6875,24.4166666666,123.7,24.4249999999
36235600,-0.04994, 0.03276, 0.05137,123.75,24.4166666666,123.7625,24.4249999999
36235605,-0.04897, 0.03268, 0.04636,123.8125,24.4166666666,123.825,24.4249999999
36235700,-0.04799, 0.03281, 0.04445,123.875,24.4166666666,123.8875,24.4249999999
36235705,-0.04708, 0.03284, 0.04229,123.9375,24.4166666666,123.95,24.4249999999
36245000,-0.04639, 0.03275, 0.04070,124.0,24.4166666666,124.0125,24.4249999999
36245005,-0.04536, 0.03261, 0.03702,124.0625,24.4166666666,124.075,24.4249999999
36245100,-0.04433, 0.03241, 0.03313,124.125,24.4166666666,124.1375,24.4249999999
36245105,-0.04341, 0.03212, 0.02996,124.1875,24.4166666666,124.2,24.4249999999
36245200,-0.04268, 0.03178, 0.02786,124.25,24.4166666666,124.2625,24.4249999999
36245205,-0.04218, 0.03148, 0.02567,124.3125,24.4166666666,124.325,24.4249999999
36245300,-0.04173, 0.03124, 0.02271,124.375,24.4166666666,124.3875,24.4249999999
36225750,-0.06556, 0.03126, 0.13628,122.875,24.4583333331,122.8875,24.4666666664
36225755,-0.06608, 0.03125, 0.13928,122.9375,24.4583333331,122.95,24.4666666664
36235050,-0.06511, 0.03138, 0.13430,123.0,24.4583333331,123.0125,24.4666666664
36235055,-0.06390, 0.03156, 0.12812,123.0625,24.4583333331,123.075,24.4666666664
36235150,-0.06261, 0.03174, 0.12159,123.125,24.4583333331,123.1375,24.4666666664
36235650,-0.04994, 0.03244, 0.05024,123.75,24.4583333331,123.7625,24.4666666664
36235655,-0.04895, 0.03237, 0.04545,123.8125,24.4583333331,123.825,24.4666666664
36235750,-0.04796, 0.03246, 0.04317,123.875,24.4583333331,123.8875,24.4666666664
36245050,-0.04620, 0.03241, 0.03907,124.0,24.4583333331,124.0125,24.4666666664
36245055,-0.04520, 0.03227, 0.03596,124.0625,24.4583333331,124.075,24.4666666664
36245150,-0.04422, 0.03205, 0.03280,124.125,24.4583333331,124.1375,24.4666666664
36245155,-0.04330, 0.03176, 0.03016,124.1875,24.4583333331,124.2,24.4666666664
36245250,-0.04255, 0.03143, 0.02817,124.25,24.4583333331,124.2625,24.4666666664
36245255,-0.04198, 0.03114, 0.02583,124.3125,24.4583333331,124.325,24.4666666664
36245350,-0.04154, 0.03096, 0.02237,124.375,24.4583333331,124.3875,24.4666666664
36226700,-0.06533, 0.03128, 0.13503,122.875,24.5,122.8875,24.5083333333
36226705,-0.06548, 0.03137, 0.13649,122.9375,24.5,122.95,24.5083333333
36236000,-0.06487, 0.03141, 0.13306,123.0,24.5,123.0125,24.5083333333
36236005,-0.06380, 0.03154, 0.12746,123.0625,24.5,123.075,24.5083333333
36236100,-0.06258, 0.03170, 0.12114,123.125,24.5,123.1375,24.5083333333
36236600,-0.04993, 0.03222, 0.05015,123.75,24.5,123.7625,24.5083333333
36236605,-0.04894, 0.03217, 0.04569,123.8125,24.5,123.825,24.5083333333
36236700,-0.04796, 0.03219, 0.04282,123.875,24.5,123.8875,24.5083333333
36246000,-0.04601, 0.03211, 0.03773,124.0,24.5,124.0125,24.5083333333
36246005,-0.04506, 0.03196, 0.03508,124.0625,24.5,124.075,24.5083333333
36246100,-0.04410, 0.03174, 0.03245,124.125,24.5,124.1375,24.5083333333
36246105,-0.04320, 0.03144, 0.03024,124.1875,24.5,124.2,24.5083333333
36246200,-0.04238, 0.03109, 0.02855,124.25,24.5,124.2625,24.5083333333
36246205,-0.04176, 0.03080, 0.02634,124.3125,24.5,124.325,24.5083333333
36246300,-0.04137, 0.03070, 0.02215,124.375,24.5,124.3875,24.5083333333
36246150,-0.04400, 0.03148, 0.03202,124.125,24.5416666665,124.1375,24.5499999998
36246155,-0.04312, 0.03119, 0.03006,124.1875,24.5416666665,124.2,24.5499999998
36246250,-0.04225, 0.03083, 0.02853,124.25,24.5416666665,124.2625,24.5499999998
36246255,-0.04158, 0.03052, 0.02670,124.3125,24.5416666665,124.325,24.5499999998
36246350,-0.04125, 0.03050, 0.02175,124.375,24.5416666665,124.3875,24.5499999998
36247100,-0.04391, 0.03128, 0.03150,124.125,24.5833333333,124.1375,24.5916666666
36247105,-0.04306, 0.03101, 0.02960,124.1875,24.5833333333,124.2,24.5916666666
36247200,-0.04219, 0.03069, 0.02779,124.25,24.5833333333,124.2625,24.5916666666
36247205,-0.04159, 0.03046, 0.02529,124.3125,24.5833333333,124.325,24.5916666666
36247300,-0.04119, 0.03038, 0.02101,124.375,24.5833333333,124.3875,24.5916666666
36247500,-0.03994, 0.03021, 0.00408,124.625,24.5833333333,124.6375,24.5916666666
36247505,-0.03964, 0.03019, 0.00159,124.6875,24.5833333333,124.7,24.5916666666
36247600,-0.03925, 0.03017, 0.00169,124.75,24.5833333333,124.7625,24.5916666666
36247250,-0.04216, 0.03061, 0.02681,124.25,24.6249999998,124.2625,24.6333333331
36247255,-0.04160, 0.03042, 0.02405,124.3125,24.6249999998,124.325,24.6333333331
36247350,-0.04117, 0.03033, 0.02020,124.375,24.6249999998,124.3875,24.6333333331
36247550,-0.03991, 0.03017, 0.00347,124.625,24.6249999998,124.6375,24.6333333331
36247555,-0.03962, 0.03012,-0.00022,124.6875,24.6249999998,124.7,24.6333333331
36247650,-0.03918, 0.03011, 0.00093,124.75,24.6249999998,124.7625,24.6333333331
37240200,-0.04213, 0.03057, 0.02596,124.25,24.6666666666,124.2625,24.6749999999
37240205,-0.04161, 0.03041, 0.02315,124.3125,24.6666666666,124.325,24.6749999999
