MeshCode,dB(sec),dL(sec),dH(m),lon_min,lat_min,lon_max,lat_max
36230600,-0.04269, 0.03054, 0.08308,123.75,24.0,123.7625,24.0083333333
36230605,-0.04223, 0.03063, 0.07984,123.8125,24.0,123.825,24.0083333333
36230555,-0.04322, 0.03017, 0.08473,123.6875,24.0416666665,123.7,24.0499999998
36230650,-0.04250, 0.03060, 0.08183,123.75,24.0416666665,123.7625,24.0499999998
36230655,-0.04193, 0.03076, 0.07842,123.8125,24.0416666665,123.825,24.0499999998
36230750,-0.04130, 0.03038, 0.07155,123.875,24.0416666665,123.8875,24.0499999998
36231600,-0.04239, 0.03043, 0.07986,123.75,24.0833333333,123.7625,24.0916666666
36231605,-0.04174, 0.03059, 0.07594,123.8125,24.0833333333,123.825,24.0916666666
36231650,-0.04235, 0.03006, 0.07722,123.75,24.1249999998,123.7625,24.1333333331
36231655,-0.04166, 0.03014, 0.07251,123.8125,24.1249999998,123.825,24.1333333331
36232700,-0.04122, 0.02952, 0.06532,123.875,24.1666666666,123.8875,24.1749999999
36232705,-0.04079, 0.02923, 0.06025,123.9375,24.1666666666,123.95,24.1749999999
36242000,-0.04014, 0.02892, 0.05382,124.0,24.1666666666,124.0125,24.1749999999
36242005,-0.03944, 0.02859, 0.04739,124.0625,24.1666666666,124.075,24.1749999999
36412305,-0.00740,-0.03726, 0.59293,141.4375,24.1666666666,141.45,24.1749999999
36412400,-0.00600,-0.03735, 0.62844,141.5,24.1666666666,141.5125,24.1749999999
36232555,-0.04326, 0.02901, 0.07744,123.6875,24.2083333331,123.7,24.2166666664
36232650,-0.04235, 0.02915, 0.07180,123.75,24.2083333331,123.7625,24.2166666664
36232655,-0.04165, 0.02919, 0.06697,123.8125,24.2083333331,123.825,24.2166666664
36232750,-0.04110, 0.02908, 0.06220,123.875,24.2083333331,123.8875,24.2166666664
36232755,-0.04073, 0.02886, 0.05780,123.9375,24.2083333331,123.95,24.2166666664
36242050,-0.04004, 0.02860, 0.05141,124.0,24.2083333331,124.0125,24.2166666664
36242055,-0.03931, 0.02832, 0.04480,124.0625,24.2083333331,124.075,24.2166666664
36412355,-0.00768,-0.03724, 0.58573,141.4375,24.2083333331,141.45,24.2166666664
36412450,-0.00610,-0.03735, 0.62584,141.5,24.2083333331,141.5125,24.2166666664
36233500,-0.04433, 0.02845, 0.08166,123.625,24.25,123.6375,24.2583333333
36233505,-0.04332, 0.02860, 0.07549,123.6875,24.25,123.7,24.2583333333
36233600,-0.04236, 0.02868, 0.06932,123.75,24.25,123.7625,24.2583333333
36233605,-0.04163, 0.02870, 0.06420,123.8125,24.25,123.825,24.2583333333
36233700,-0.04100, 0.02863, 0.05926,123.875,24.25,123.8875,24.2583333333
36233705,-0.04066, 0.02846, 0.05537,123.9375,24.25,123.95,24.2583333333
36243000,-0.03994, 0.02826, 0.04902,124.0,24.25,124.0125,24.2583333333
36243005,-0.03916, 0.02803, 0.04221,124.0625,24.25,124.075,24.2583333333
36243100,-0.03838, 0.02777, 0.03571,124.125,24.25,124.1375,24.2583333333
36413305,-0.00787,-0.03723, 0.58104,141.4375,24.25,141.45,24.2583333333
36413400,-0.00609,-0.03735, 0.62622,141.5,24.25,141.5125,24.2583333333
36233550,-0.04443, 0.02810, 0.08033,123.625,24.2916666665,123.6375,24.2999999998
36233555,-0.04339, 0.02818, 0.07368,123.6875,24.2916666665,123.7,24.2999999998
36233650,-0.04239, 0.02820, 0.06706,123.75,24.2916666665,123.7625,24.2999999998
36233655,-0.04161, 0.02821, 0.06166,123.8125,24.2916666665,123.825,24.2999999998
36233750,-0.04091, 0.02817, 0.05661,123.875,24.2916666665,123.8875,24.2999999998
36233755,-0.04058, 0.02805, 0.05314,123.9375,24.2916666665,123.95,24.2999999998
36243050,-0.03981, 0.02790, 0.04688,124.0,24.2916666665,124.0125,24.2999999998
36243055,-0.03899, 0.02772, 0.03991,124.0625,24.2916666665,124.075,24.2999999998
36243150,-0.03816, 0.02750, 0.03280,124.125,24.2916666665,124.1375,24.2999999998
36243155,-0.03742, 0.02723, 0.02786,124.1875,24.2916666665,124.2,24.2999999998
36243250,-0.03683, 0.02689, 0.02694,124.25,24.2916666665,124.2625,24.2999999998
36413355,-0.00794,-0.03722, 0.57921,141.4375,24.2916666665,141.45,24.2999999998
36234500,-0.04452, 0.02775, 0.07913,123.625,24.3333333333,123.6375,24.3416666666
36234505,-0.04345, 0.02777, 0.07208,123.6875,24.3333333333,123.7,24.3416666666
36234600,-0.04237, 0.02772, 0.06456,123.75,24.3333333333,123.7625,24.3416666666
36234605,-0.04160, 0.02772, 0.05938,123.8125,24.3333333333,123.825,24.3416666666
36234700,-0.04084, 0.02771, 0.05437,123.875,24.3333333333,123.8875,24.3416666666
36234705,-0.04049, 0.02764, 0.05122,123.9375,24.3333333333,123.95,24.3416666666
36244000,-0.03968, 0.02754, 0.04517,124.0,24.3333333333,124.0125,24.3416666666
36244005,-0.03883, 0.02739, 0.03832,124.0625,24.3333333333,124.075,24.3416666666
36244100,-0.03795, 0.02721, 0.03081,124.125,24.3333333333,124.1375,24.3416666666
36244105,-0.03715, 0.02698, 0.02507,124.1875,24.3333333333,124.2,24.3416666666
36244200,-0.03659, 0.02662, 0.02601,124.25,24.3333333333,124.2625,24.3416666666
36244205,-0.03608, 0.02629, 0.02618,124.3125,24.3333333333,124.325,24.3416666666
36224755,-0.05561, 0.02596, 0.13946,122.9375,24.3749999998,122.95,24.3833333331
36234050,-0.05511, 0.02601, 0.13664,123.0,24.3749999998,123.0125,24.3833333331
36234555,-0.04352, 0.02739, 0.07077,123.6875,24.3749999998,123.7,24.3833333331
36234650,-0.04241, 0.02726, 0.06276,123.75,24.3749999998,123.7625,24.3833333331
36234655,-0.04160, 0.02723, 0.05739,123.8125,24.3749999998,123.825,24.3833333331
36234750,-0.04080, 0.02728, 0.05262,123.875,24.3749999998,123.8875,24.3833333331
36234755,-0.04038, 0.02726, 0.04967,123.9375,24.3749999998,123.95,24.3833333331
36244050,-0.03955, 0.02718, 0.04401,124.0,24.3749999998,124.0125,24.3833333331
36244055,-0.03867, 0.02705, 0.03768,124.0625,24.3749999998,124.075,24.3833333331
36244150,-0.03779, 0.02688, 0.03105,124.125,24.3749999998,124.1375,24.3833333331
36244155,-0.03699, 0.02664, 0.02660,124.1875,24.3749999998,124.2,24.3833333331
36244250,-0.03637, 0.02631, 0.02665,124.25,24.3749999998,124.2625,24.3833333331
36244255,-0.03591, 0.02601, 0.02671,124.3125,24.3749999998,124.325,24.3833333331
36225700,-0.05575, 0.02596, 0.14041,122.875,24.4166666666,122.8875,24.4249999999
36225705,-0.05615, 0.02583, 0.14225,122.9375,24.4166666666,122.95,24.4249999999
36235000,-0.05547, 0.02591, 0.13838,123.0,24.4166666666,123.0125,24.4249999999
36235005,-0.05444, 0.02606, 0.13265,123.0625,24.4166666666,123.075,24.4249999999
36235505,-0.04358, 0.02705, 0.06984,123.6875,24.4166666666,123.7,24.4249999999
36235600,-0.04244, 0.02686, 0.06138,123.75,24.4166666666,123.7625,24.4249999999
36235605,-0.04161, 0.02678, 0.05580,123.8125,24.4166666666,123.825,24.4249999999
36235700,-0.04077, 0.02690, 0.05150,123.875,24.4166666666,123.8875,24.4249999999
36235705,-0.03998, 0.02692, 0.04707,123.9375,24.4166666666,123.95,24.4249999999
36245000,-0.03940, 0.02685, 0.04335,124.0,24.4166666666,124.0125,24.4249999999
36245005,-0.03853, 0.02673, 0.03784,124.0625,24.4166666666,124.075,24.4249999999
36245100,-0.03765, 0.02655, 0.03261,124.125,24.4166666666,124.1375,24.4249999999
36245105,-0.03685, 0.02629, 0.02930,124.1875,24.4166666666,124.2,24.4249999999
36245200,-0.03618, 0.02598, 0.02854,124.25,24.4166666666,124.2625,24.4249999999
36245205,-0.03571, 0.02572, 0.02810,124.3125,24.4166666666,124.325,24.4249999999
36225750,-0.05597, 0.02578, 0.14083,122.875,24.4583333331,122.8875,24.4666666664
36225755,-0.05642, 0.02577, 0.14359,122.9375,24.4583333331,122.95,24.4666666664
36235050,-0.05558, 0.02587, 0.13883,123.0,24.4583333331,123.0125,24.4666666664
36235055,-0.05452, 0.02600, 0.13290,123.0625,24.4583333331,123.075,24.4666666664
36235650,-0.04245, 0.02659, 0.06080,123.75,24.4583333331,123.7625,24.4666666664
36235655,-0.04161, 0.02652, 0.05541,123.8125,24.4583333331,123.825,24.4666666664
36235750,-0.04075, 0.02659, 0.05110,123.875,24.4583333331,123.8875,24.4666666664
36245055,-0.03838, 0.02642, 0.03842,124.0625,24.4583333331,124.075,24.4666666664
36245150,-0.03752, 0.02623, 0.03435,124.125,24.4583333331,124.1375,24.4666666664
36245155,-0.03672, 0.02597, 0.03183,124.1875,24.4583333331,124.2,24.4666666664
36245250,-0.03603, 0.02567, 0.03102,124.25,24.4583333331,124.2625,24.4666666664
36245255,-0.03550, 0.02541, 0.03016,124.3125,24.4583333331,124.325,24.4666666664
36226705,-0.05590, 0.02586, 0.14083,122.9375,24.5,122.95,24.5083333333
36236000,-0.05537, 0.02589, 0.13764,123.0,24.5,123.0125,24.5083333333
36236005,-0.05444, 0.02599, 0.13231,123.0625,24.5,123.075,24.5083333333
36236605,-0.04160, 0.02635, 0.05569,123.8125,24.5,123.825,24.5083333333
36236700,-0.04075, 0.02636, 0.05131,123.875,24.5,123.8875,24.5083333333
36246005,-0.03824, 0.02615, 0.03911,124.0625,24.5,124.075,24.5083333333
36246100,-0.03740, 0.02595, 0.03590,124.125,24.5,124.1375,24.5083333333
36246105,-0.03659, 0.02569, 0.03399,124.1875,24.5,124.2,24.5083333333
36246200,-0.03584, 0.02537, 0.03350,124.25,24.5,124.2625,24.5083333333
36246205,-0.03527, 0.02511, 0.03268,124.3125,24.5,124.325,24.5083333333
36246300,-0.03495, 0.02502, 0.02913,124.375,24.5,124.3875,24.5083333333
36246155,-0.03649, 0.02546, 0.03556,124.1875,24.5416666665,124.2,24.5499999998
36246250,-0.03570, 0.02514, 0.03522,124.25,24.5416666665,124.2625,24.5499999998
36246255,-0.03508, 0.02486, 0.03482,124.3125,24.5416666665,124.325,24.5499999998
36246350,-0.03483, 0.02484, 0.03002,124.375,24.5416666665,124.3875,24.5499999998
36247200,-0.03564, 0.02501, 0.03561,124.25,24.5833333333,124.2625,24.5916666666
36247205,-0.03510, 0.02480, 0.03411,124.3125,24.5833333333,124.325,24.5916666666
36247300,-0.03477, 0.02474, 0.03019,124.375,24.5833333333,124.3875,24.5916666666
36247505,-0.03356, 0.02460, 0.01338,124.6875,24.5833333333,124.7,24.5916666666
36247600,-0.03324, 0.02459, 0.01352,124.75,24.5833333333,124.7625,24.5916666666
36247250,-0.03561, 0.02494, 0.03542,124.25,24.6249999998,124.2625,24.6333333331
36247255,-0.03512, 0.02478, 0.03340,124.3125,24.6249999998,124.325,24.6333333331
36247350,-0.03475, 0.02469, 0.03000,124.375,24.6249999998,124.3875,24.6333333331
36247550,-0.03377, 0.02458, 0.01545,124.625,24.6249999998,124.6375,24.6333333331
36247555,-0.03354, 0.02454, 0.01235,124.6875,24.6249999998,124.7,24.6333333331
36247650,-0.03317, 0.02454, 0.01335,124.75,24.6249999998,124.7625,24.6333333331
37240205,-0.03514, 0.02477, 0.03293,124.3125,24.6666666666,124.325,24.6749999999
37240500,-0.03370, 0.02454, 0.01600,124.625,24.6666666666,124.6375,24.6749999999
37240505,-0.03345, 0.02451, 0.01323,124.6875,24.6666666666,124.7,24.6749999999
